No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
134  1:03:46.602    3:16:28.083    3:16:28.357    0.274      0.274      Paused by player, Unpause by player
135  1:03:47.252    3:16:28.987    3:16:29.713    0.726      0.726      Paused by player, Unpause by player
136  1:03:52.202    3:16:34.617    3:16:39.554    4.937      4.937      Paused by player, Unpause by player
137  1:03:55.352    3:16:42.673    3:16:44.331    1.658      1.658      Paused by player, Unpause by player
138  1:03:55.952    3:16:44.888    3:16:46.461    1.573      1.573      Paused by player, Unpause by player
139  1:03:57.652    3:16:48.139    3:16:48.946    0.807      0.807      Paused by player, Unpause by player
140  1:04:01.802    3:16:53.065    3:16:55.099    2.034      2.034      Paused by player, Unpause by player
141  1:04:02.752    3:16:56.035    3:16:57.185    1.150      1.150      Paused by player, Unpause by player
142  1:04:04.952    3:16:59.371    3:17:00.604    1.233      1.233      Paused by player, Unpause by player
143  1:04:05.552    3:17:01.153    3:17:02.143    0.990      0.990      Paused by player, Unpause by player
144  1:04:41.352    3:17:37.907    3:17:38.566    0.659      0.659      Paused by player, Unpause by player
145  1:04:44.902    3:17:42.119    3:17:53.792    11.673     11.673     Paused by player, Unpause by player
146  1:04:58.802    3:18:07.668    3:19:11.659    63.991     63.991     Paused by player, Unpause by player
147  1:05:01.252    3:19:14.093    3:19:14.464    0.371      0.371      Paused by player, Unpause by player
148  1:05:01.652    3:19:14.823    3:19:15.083    0.260      0.260      Paused by player, Unpause by player
149  1:05:02.152    3:19:15.580    3:19:15.902    0.322      0.322      Paused by player, Unpause by player
150  1:05:02.502    3:19:16.222    3:19:16.431    0.209      0.209      Paused by player, Unpause by player
151  1:05:03.252    3:19:17.144    3:19:17.364    0.220      0.220      Paused by player, Unpause by player
152  1:05:03.552    3:19:17.653    3:19:18.076    0.423      0.423      Paused by player, Unpause by player
153  1:05:12.302    3:19:26.795    3:19:53.424    26.629     26.629     Paused by player, Unpause by player
154  1:05:23.702    3:20:04.806    3:20:06.168    1.362      1.362      Paused by player, Unpause by player
155  1:05:25.402    3:20:07.837    3:20:08.490    0.653      0.653      Paused by player, Unpause by player
156  1:05:27.102    3:20:10.149    3:20:10.738    0.589      0.589      Paused by player, Unpause by player
157  1:05:40.052    3:20:23.661    3:20:26.154    2.493      2.493      Paused by player, Unpause by player
158  1:05:41.702    3:20:27.778    3:20:28.955    1.177      1.177      Paused by player, Unpause by player
159  1:05:42.202    3:20:29.450    3:20:30.161    0.711      0.711      Paused by player, Unpause by player
160  1:05:42.602    3:20:30.542    3:20:31.499    0.957      0.957      Paused by player, Unpause by player
161  1:06:41.002    3:21:29.903    3:21:32.872    2.969      2.969      Paused by player, Unpause by player
162  1:07:01.352    3:21:53.205    3:21:57.331    4.126      4.126      Paused by player, Unpause by player
163  1:08:01.152    3:22:57.109    3:22:57.599    0.490      0.490      Paused by player, Unpause by player
